u1,u2,u3,u4
0.19617256480351178,0.1911673931432848,0.5171742151640871,-1.0478517255981603
0.19775034619096096,0.19269617656534266,0.5213097173257631,-1.0562544855471279
0.19931994798551791,0.1942167926654051,0.5254230992368824,-1.0646129383686558
0.20088059537536979,0.1957284888060452,0.5295123307825104,-1.0729229702911267
0.20243149829487866,0.19723049524347464,0.5335753348189738,-1.081180371284157
0.2039718526187403,0.198722028248949,0.5376099921775547,-1.0893808552140196
0.20550084120547613,0.2002022920904404,0.5416141517708013,-1.0975200641161102
0.207017631959528,0.20167047645443575,0.545585623186623,-1.1055935586931611
0.20852138099600187,0.20312575724276868,0.5495221775990272,-1.1135968288311304
0.21001123155012683,0.20456729940618545,0.5534215574915843,-1.1215253005708357
0.2114863145555939,0.20599425585414616,0.5572814714540335,-1.1293743321402938
0.21294574806889568,0.2074057674402827,0.5610995962040103,-1.1371392145098778
0.21438863978969666,0.20880096554489402,0.5648735807529339,-1.1448151861674063
0.21581408768634097,0.21017897022549525,0.5686010462200839,-1.1523974260592156
0.2172211803324409,0.21153889275594337,0.5722795884227236,-1.1598810658373928
0.2186089968605575,0.21287983641427827,0.5759067821865439,-1.1672611884562063
0.21997660748441059,0.21420089556405575,0.5794801762914475,-1.1745328306228644
0.22132307749925645,0.21550115981160528,0.5829973108796623,-1.181691000815322
0.22264746487091733,0.21677971120678632,0.5864557013525671,-1.18873066856727
0.2239488221231672,0.21803562780138766,0.5898528528015684,-1.195646777095255
0.2252261989583618,0.2192679839233347,0.5931862642212573,-1.2024342524181304
0.2264786408758069,0.2204758494080017,0.5964534187433492,-1.2090879973789104
0.22770519222879396,0.22165829431963505,0.5996517999614532,-1.2156029116139717
0.22890489691800125,0.22281438717897986,0.6027788894866969,-1.2219738898982055
0.2300767981151896,0.22394319719098163,0.6058321690751044,-1.2281958270211515
0.23121994124724282,0.2250437955363297,0.6088091266305674,-1.2342636285596993
0.23233337579841445,0.22611525654808293,0.6117072597589045,-1.2401722201857994
0.23341615352307085,0.2271566586508796,0.6145240743206828,-1.245916545198479
0.23446733333646605,0.22816708549015322,0.6172570918158802,-1.2514915799480026
0.23548598184222927,0.2291456275984381,0.6199038536153015,-1.256892340198133
0.2364711721735611,0.2300913846736829,0.6224619241983224,-1.262113883986616
0.2374219886727685,0.23100346616745956,0.6249288947841044,-1.2671513270361179
0.23833752693725796,0.2318809911532359,0.6273023835286672,-1.2719998406518944
0.23921689421062234,0.23272309363137272,0.6295800475399246,-1.276654668483145
0.24005921366030475,0.23352891903284662,0.6317595754611566,-1.281111128489986
0.24086362366051117,0.23429763004197574,0.6338387047353926,-1.285364625324553
0.2416292795130231,0.2350284060503229,0.6358152130770063,-1.2894106559357852
0.24235535508121372,0.23572044422525257,0.6376869315653193,-1.2932448154417109
0.24304104603298005,0.23637296291871465,0.6394517458722646,-1.2968628146771901
0.24368556865528754,0.23698520034502946,0.6411075956408644,-1.3002604743929425
0.24428816280863283,0.23755641923885412,0.6426524864246101,-1.303433745291954
0.2448480946389458,0.23808590434741353,0.6440844857318224,-1.306378708893655
0.24536465390712758,0.2385729689282171,0.6454017342595884,-1.309091587774757
0.2458371609113751,0.23901695061895553,0.6466024431970316,-1.311568753122767
0.24626496344308968,0.23941721834117557,0.6476849050742303,-1.313806735063976
0.24664744155724605,0.2397731692393339,0.6486474892075191,-1.3158022270126328
0.2469840050418015,0.24008423243161167,0.649488651996334,-1.317552090010751
0.24727409940043624,0.24034986944334286,0.65020693796116,-1.3190533685812107
0.24751720450370726,0.24056957516056654,0.6508009830653361,-1.32030329171334
0.24771283417547202,0.24074288167607683,0.6512695181854121,-1.3212992796273249
0.2478605414907093,0.24086935415169808,0.6516113710234418,-1.3220389486466317
0.24795991774937723,0.24094859705749205,0.6518254715508902,-1.3225201251990737
0.2480105921330035,0.2409802528077977,0.65191085186004,-1.3227408400626703
0.24801223445906986,0.24096400349764874,0.6518666548376744,-1.322699341866924
0.24796455639605933,0.24089957095538928,0.6516921259271298,-1.3223941002402821
0.24786731217296704,0.24078671882507152,0.6513866284782068,-1.3218238115387466
0.24772029838412493,0.240625252217498,0.6509496350411529,-1.3209874007056956
0.24752335530546785,0.24041501843313628,0.6503807336304587,-1.3198840242420744
0.24727636721710783,0.24015590936310716,0.6496796316112274,-1.3185130770733282
0.24697926260032957,0.23984785885597615,0.6488461500940051,-1.316874189727551
0.2466320170299438,0.23949084644115956,0.6478802345754119,-1.314967242369759
0.24623465074940398,0.23908489589496962,0.6467819505208763,-1.3127923543773148
0.24578722958064517,0.23863007402864614,0.6455514789848789,-1.3103498863792136
0.24528986571158662,0.23812649596966298,0.6441891306240611,-1.307640453782082
0.24474271607748088,0.2375743194966487,0.6426953331587596,-1.3046649122129004
0.24414598869721935,0.23697374700654172,0.6410706366079808,-1.3014243703105757
0.2434999294830519,0.23632502763722324,0.6393157099653064,-1.2979201702911787
0.24280483677665726,0.23562845763242365,0.6374313562917223,-1.2941539198308625
0.2420610526833902,0.23488436823078568,0.6354184745589735,-1.290127444113357
0.2412689642182951,0.23409314524096744,0.6332781065484134,-1.2858428356414429
0.2404290019293488,0.23325521410599806,0.6310114046493873,-1.2813024079700144
0.23954164242314224,0.2323710438539151,0.6286196287041014,-1.2765087157402901
0.23860740190603616,0.23144114535571722,0.626104173533097,-1.2714645493455714
