l1,l2,l3,l4,l5,l6
3.528643010239798,-1.8120107583821476,-7.007465772501555,-1.7936070362689627,3.4788227622617574,3.6056177946511108
3.580419296498454,-1.7933568204637518,-7.109707533846164,-1.7744672653767177,3.52928823734771,3.5678240858404697
3.6326277542376837,-1.7745479928710666,-7.212800471863642,-1.7551677150907317,3.5801727176259583,3.5297157079617985
3.6852667656180333,-1.7555848745004037,-7.316741342382089,-1.7357089783383803,3.6314745767640564,3.4912938528387842
3.738334516661441,-1.7364681351860751,-7.421526514941905,-1.7160917218580292,3.6831919982804653,3.4525598570441045
3.7918289934835774,-1.7171985175295408,-7.5271519634966175,-1.696316687238933,3.7353229700130415,3.413515204768474
3.845747977396755,-1.6977768382630003,-7.633613257333483,-1.6763846924403811,3.78786527993673,3.3741615307033817
3.9000890413476164,-1.6782039893823957,-7.7409055543625955,-1.6562966329028441,3.840816513014981,3.33450062228524
3.9548495449941345,-1.6584809398580482,-7.849023591491012,-1.6360534830733562,3.8941740464968784,3.2945344229314046
4.010026631297781,-1.6386087370331532,-7.957961677012413,-1.6156562978114821,3.947935045714634,3.254265034844636
4.065617222532312,-1.6185885078241091,-8.067713683424024,-1.5951062136909344,4.002096460891714,3.213694721515044
4.121618016082966,-1.5984214601786655,-8.178273039293341,-1.5744044504949817,4.056655023210376,3.1728259106736476
4.178025481206176,-1.5781088844543887,-8.289632722176455,-1.5535523123953814,4.111607240970279,3.1316611968497705
4.234835855514102,-1.55765215451377,-8.401785252233537,-1.5325511892403687,4.166949396719437,3.090203343754139
4.292045141582728,-1.5370527289283553,-8.514722685447566,-1.5114025577848094,4.22267754386484,3.0484552867131653
4.349649103413315,-1.516312152184327,-8.628436606898553,-1.4901079829779198,4.278787503485241,3.0064201351622475
4.407643263954762,-1.4954320556298377,-8.742918125515294,-1.46866911899895,4.335274861560535,2.964101174628788
4.4660229019386755,-1.474414158607288,-8.858157868121216,-1.447087710230316,4.392134966182543,2.9215018688376047
4.524783049680142,-1.4532602693316938,-8.974145974704955,-1.4253655921970718,4.449362925024816,2.878625861528766
4.583918490307108,-1.431972285690266,-9.090872093550576,-1.4035046925110162,4.5069536032434705,2.8354769782012825
4.64342375574025,-1.4105521961338603,-9.208325376612862,-1.381507031762575,4.564901620872615,2.792059227896436
4.7032931247338166,-1.3890020801526997,-9.326494476694394,-1.3593747240126495,4.6232013519605815,2.74837680416535
4.763520621455287,-1.367324109032021,-9.445367543551122,-1.3371099775255577,4.681846922095838,2.7044340865575793
4.824100013884656,-1.3455205462518822,-9.564932221260648,-1.314715095313241,4.740832207375995,2.660235641565124
4.885024812704343,-1.3235937478595488,-9.685175646502461,-1.2921924754174048,4.800150833798121,2.615786223276954
4.9462882705679,-1.3015461629187486,-9.806084446240352,-1.269544611329824,4.8597961756724555,2.571090774248573
5.007883381733151,-1.279380333486785,-9.92764473740175,-1.2467740921069448,4.919761355668601,2.52615442559373
5.069802881774303,-1.257098894768887,-10.04984212639157,-1.2238836024151447,4.98003924461727,2.4809824971840317
5.132039247568907,-1.234704575049789,-10.172661709093685,-1.2008759226036259,5.04062246152478,2.4355804976534148
5.194584697761821,-1.2122001954961559,-10.296088071949654,-1.1777539284789016,5.101503374187837,2.3899541239750577
5.25743119380451,-1.1895886698413476,-10.420105293968234,-1.1545205908990601,5.162674100163728,2.344109260740408
5.32057044089229,-1.1668730039762596,-10.544696948488083,-1.131178975546753,5.2241265075957966,2.298051979523013
5.383993889705502,-1.1440562954272442,-10.669846106482883,-1.1077322422131064,5.285852216777385,2.2517885376403513
5.447692738363785,-1.1211417326674005,-10.795535340502695,-1.0841836440288835,5.347842602138915,2.2053253766962846
5.511657934342614,-1.0981325942000322,-10.921746728901358,-1.0605365268115274,5.410088794558747,2.15866912101156
5.575880177567816,-1.0750322475832863,-11.04846186160497,-1.0367943279442506,5.4725816840371575,2.1118265755275374
5.640349923280139,-1.0518441484679628,-11.17566184567016,-1.0129605752505249,5.535311922390024,2.064804723718488
5.705057385374461,-1.0285718391048255,-11.303327312518475,-0.9890388858294626,5.598269927144017,2.0176107249342885
5.769992540677344,-1.005218947201541,-11.431438425367473,-0.9650329644634321,5.661445884690132,1.9702519116649733
5.83514513273626,-0.9817891841973434,-11.559974887899928,-0.940946602097381,5.724829755163672,1.9227357862947245
