x_m,y_m,z_m
0.03035757514797623,-2.2841290211097043e-07,0.33822356658223374
0.030357322525220835,-2.330469679645587e-07,0.338218087422712
0.030357050962065174,-2.3722654035730238e-07,0.3382124900139074
0.030356762722109448,-2.410999489009283e-07,0.33820677200242194
0.030356459244837285,-2.447675181975432e-07,0.3382009311137302
0.030356141410690332,-2.482970045631807e-07,0.3381949651243712
0.03035580972077356,-2.5173423243705475e-07,0.3381888718435413
0.030355464418194564,-2.551096462385727e-07,0.33818264910113127
0.03035510557037765,-2.584436563186935e-07,0.33817629474009214
0.030354713242942942,-2.5808352799316495e-07,0.33816980882995024
0.030354311695126673,-2.5828925309040595e-07,0.3381631864938965
0.030353900909662137,-2.595374600256513e-07,0.338156425578208
0.030353479286549856,-2.6152472895779084e-07,0.33814952410381893
0.03035304551389589,-2.6401239297931026e-07,0.3381424800610016
0.03035259859133823,-2.668403480397868e-07,0.3381352914089355
0.030352137738965293,-2.6990295973105126e-07,0.33812795608808044
0.03035166232603801,-2.7312980610035466e-07,0.3381204720303009
0.03035117182235329,-2.7647389282180446e-07,0.3381128371665793
0.030350665765081573,-2.7990256997932167e-07,0.33810504943300956
0.030350143736777944,-2.833943773182853e-07,0.3380971067756231
0.030349605350471494,-2.86934012263882e-07,0.3380890071545041
0.030349050239606733,-2.90510876628413e-07,0.338080748547447
0.030348478051711283,-2.9411759483235423e-07,0.33807232895328126
0.030347888443477217,-2.97748611780922e-07,0.33806374639505815
0.030347281078282103,-3.013998143467022e-07,0.33805499892313345
0.030346655624176863,-3.0506821928976305e-07,0.3380460846182772
0.030346011753078127,-3.0875147639763376e-07,0.33803700159454314
0.030345349139493622,-3.1244711486081437e-07,0.3380277480025235
0.030344667460889648,-3.1615339525319346e-07,0.3380183220323465
0.03034396639723183,-3.1986875752060186e-07,0.3380087219168135
0.03034324563115508,-3.2359164314581167e-07,0.33799894593463775
0.03034250484802969,-3.273205616461995e-07,0.33798899241368824
0.030341743736491542,-3.310539557030789e-07,0.3379788597342066
0.03034096198848928,-3.34790272139453e-07,0.3379685463321909
0.030340159299750355,-3.385278228666271e-07,0.33795805070281365
0.030339335370418427,-3.422653419166629e-07,0.3379473714037612
0.03033848990505375,-3.460011400400918e-07,0.337936507058785
0.0303376226134052,-3.49733625067609e-07,0.3379254563611247
0.030336733210639406,-3.534610029343585e-07,0.33791421807707506
0.030335821418155332,-3.571818914195458e-07,0.33790279104953036
0.030334886963707598,-3.6089421788598026e-07,0.3378911742014929
0.030333929582156423,-3.645962564995087e-07,0.33787936653967277
0.030332949015829617,-3.6828643872694874e-07,0.33786736715806154
0.03033194501511714,-3.7196257431083735e-07,0.3378551752414357
0.030330917339062267,-3.756226636000754e-07,0.3378427900689639
0.030329865755768126,-3.7926485201286717e-07,0.33783021101767025
0.030328790043000715,-3.828870283374572e-07,0.3378174375659214
0.030327689988774623,-3.864871925341514e-07,0.33780446929689345
0.03032656539174716,-3.90063219558384e-07,0.3377913059019635
0.030325416061873046,-3.936126752095308e-07,0.337777947183987
0.030324241821031092,-3.9713344632986297e-07,0.3377643930606082
0.030323042503457447,-4.006233786832472e-07,0.3377506435674241
0.030321817956284455,-4.040800169221669e-07,0.3377366988610563
0.030320568040043423,-4.075009338078905e-07,0.3377225592221774
0.030319292629363715,-4.1088375948458735e-07,0.33770822505831677
0.030317991613315116,-4.1422590089884736e-07,0.33769369690669626
0.03031666489603611,-4.175248827329563e-07,0.33767897543680037
0.030315312397226065,-4.2077825889885354e-07,0.33766406145288685
0.03031393405251434,-4.2398304681832467e-07,0.33764895589630756
0.030312529814115474,-4.2713689483429263e-07,0.33763365984766114
0.030311099651261025,-4.30236966724625e-07,0.3376181745288249
0.030309643550584263,-4.332804485738563e-07,0.33760250130469244
0.030308161516577364,-4.362645438874612e-07,0.33758664168487723
0.030306653572011368,-4.39186543791631e-07,0.33757059732507144
0.030305119758296438,-4.420433481625976e-07,0.3375543700282857
0.03030356013592239,-4.4483228587454847e-07,0.3375379617458299
0.030301974784758632,-4.475501811826535e-07,0.33752137457808234
0.030300363804373995,-4.501940291764647e-07,0.33750461077498556
0.030298727314283107,-4.5276087420089957e-07,0.33748767273634284
0.030297065454249632,-4.552477594662582e-07,0.33747056301189826
0.0302953783845158,-4.5765155130208666e-07,0.33745328430105165
0.030293666286058105,-4.5996882401193155e-07,0.33743583945238387
0.030291929360669698,-4.6219692066642206e-07,0.33741823146293015
0.030290167831065768,-4.643324740042883e-07,0.3374004634772012
0.030288381941105506,-4.6637229126623417e-07,0.3373825387858058
0.030286571955700524,-4.683133857704078e-07,0.33736446082398686
0.03028473816093957,-4.7015231764822065e-07,0.33734623316974427
0.03028288086412507,-4.7188626041653884e-07,0.33732785954171024
0.030281000393445914,-4.735118429077527e-07,0.3373093437967709
0.030279097098211288,-4.750259620090163e-07,0.3372906899273779
0.030277171348627924,-4.764254293267159e-07,0.33727190205864643
0.030275223535270814,-4.777071127126851e-07,0.3372529844451645
0.030273254069548207,-4.788681463851002e-07,0.3372339414675012
0.030271263382996582,-4.79905632888133e-07,0.33721477762841523
0.030269251926856824,-4.808164475481343e-07,0.33719549754894773
0.030267220172045365,-4.815975749193751e-07,0.337176105964216
0.030265168608458903,-4.822461995201958e-07,0.33715660771884676
0.030263097745280618,-4.82759753450297e-07,0.33713700776228506
0.03026100810953148,-4.831349768702454e-07,0.33711731114387955
0.03025890024629141,-4.833699553070527e-07,0.33709752300785123
0.030256774717669282,-4.83462333447624e-07,0.33707764858769074
0.03025463210284476,-4.834095543518194e-07,0.3370576932009556
0.030252472997311194,-4.832096443288492e-07,0.337037662243171
0.030250298011496566,-4.828601101407773e-07,0.3370175611823115
0.030248107769754302,-4.823599876280923e-07,0.3369973955527263
0.03024590291253362,-4.817069028133624e-07,0.33697717094858803
